Course-type,Title,Institution,City,Subject,Language,Language level,Beginning,Application deadline,Preparation for,Preparation for subject groups,Teaching language,Financial support,Specific support for int. students and doctoral candidates,Structured research and supervision,Scholarships,Fully online,Hybrid,Partly online,Fully on-site,Costs (Taka),Tuition fees (Taka per semester),Duration (Semesters),Duration (Months),Duration (Years),Course enroll End Date,Course enroll Start Date,Registration Deadline
Language course , International Summer Course: German for Economists , University of Münster , Münster,Business and Economics,German,"German: B2, C1",,No application deadline,,,,No,No,No,Yes,No,No,No,Yes,83510.7,,,,,28/08/2024,05/08/2024,14/06/2024
Language course , International Summer Course: German for Medicine , University of Münster , Münster,Medicine in general,German,"German: B2, C1",,No application deadline,,,,No,No,No,Yes,No,No,No,Yes,83510.7,,,,,28/08/2024,05/08/2024,14/06/2024
Language course , International Summer Course: German Language for Lawyers , University of Münster , Münster,Law,German,"German: B2, C1",,No application deadline,,,,No,No,No,Yes,No,No,No,Yes,83510.7,,,,,28/08/2024,05/08/2024,14/06/2024
Language course , International Summer School , Hamburg University of Technology , Hamburg,German Language Course (including Literature and Culture Studies),German,"German: A2, B1, B2, C1",,No application deadline,,,,No,No,No,Yes,No,No,No,Yes,102875.5,,,,,30/07/2024,03/07/2024,
Language course , International Summer School for German Language and Culture , Technische Universität Braunschweig , Braunschweig,German Language Course (including Literature and Culture Studies),German,"German: A1, A2, B1, B2, C1",,No application deadline,,,,No,No,No,Yes,No,No,No,Yes,161575.05,,,,,26/07/2024,17/06/2024,01/04/2024
Short course and language course ," International Summer School for German Language, Culture and Language Teaching ", Friedrich Schiller University Jena , Jena,German Language Course (including Literature and Culture Studies),German,"German: A2, B1, B2, C1, C2",,No application deadline,,,,No,No,No,Yes,No,No,No,Yes,83510.7,,,,,30/08/2024,05/08/2024,01/07/2024
Short course and language course , International Summer School ISU: Environmental Engineering , University of Kassel , Kassel,Engineering in general,English,"German: A1, A2, B1, B2, C1, C2
English: B2, C1, C2",,No application deadline,,,,No,No,No,No,No,No,No,Yes,289261.7,,,,,20/07/2024,22/06/2024,
Language course , International Summer School of German Language and Culture , Heidelberg University , Heidelberg,German Language Course (including Literature and Culture Studies),German,"German: A1, A2, B1, B2, C1, C2",,No application deadline,,,,No,No,No,Yes,No,No,No,Yes,99244.6,,,,,28/08/2024,01/08/2024,
Short course , International Summer School on Fluidic MEMS 2024 , Jade University of Applied Sciences Wilhelmshaven/Oldenburg/Elsfleth , Wilhelmshaven,Engineering in general,English,English: B2,,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,,,,13/09/2024,26/08/2024,15/05/2024
Short course and language course , International Summer University ISU Kassel: Brothers Grimm - Fairy Tales in Context , University of Kassel , Kassel,Languages and Cultural Studies in general,English,"German: A1, A2, B1, B2, C1, C2
English: B2, C1, C2",,No application deadline,,,,No,No,No,No,No,No,No,Yes,289261.7,,,,,20/07/2024,22/06/2024,
Short course and language course ," International Summer University ISU Kassel: Engineering Science of Wind Energy Systems – Fundamentals, Technology and Practical Investigations ", University of Kassel , Kassel,Engineering in general,English,"German: A1, A2, B1, B2, C1, C2
English: B2, C1, C2",,No application deadline,,,,No,No,No,No,No,No,No,Yes,289261.7,,,,,20/07/2024,22/06/2024,
Short course and language course , International Summer University ISU Kassel: German History and Politics , University of Kassel , Kassel,History,English,"German: A1, A2, B1, B2, C1, C2
English: B2, C1, C2",,No application deadline,,,,No,No,No,No,No,No,No,Yes,289261.7,,,,,20/07/2024,22/06/2024,
Short course and language course , International Summer University ISU Kassel: Intercultural Communication , University of Kassel , Kassel,Languages and Cultural Studies in general,English,"German: A1, A2, B1, B2, C1, C2
English: B2, C1, C2",,No application deadline,,,,No,No,No,No,No,No,No,Yes,289261.7,,,,,20/07/2024,22/06/2024,
Bachelor's degree ," International Taxation and Law, BA ", Rhine-Waal University of Applied Sciences , Kleve,Business and Economics,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,7.0,42.0,3.5,,,
Master's degree , International Technical and Vocational Education and Training (ITVET) , Otto von Guericke University Magdeburg , Magdeburg,Education,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,Yes,No,No,,242060.0,4.0,24.0,2.0,,,
Master's degree , International Technology Transfer Management (ITTM) , bbw Hochschule - University of Applied Sciences , Berlin,Industrial Engineering,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,Yes,No,,497433.3,4.0,24.0,2.0,,,
Short course , International Textile Online Week , Hof University of Applied Sciences , Münchberg,Engineering in general,English,English: B2,,No application deadline,,,,No,No,No,No,Yes,No,No,No,0.0,,,,,19/07/2024,15/07/2024,01/06/2024
Master's degree , International Tourism & Event Management (MA) , Hochschule Fresenius - University of Applied Sciences , Hamburg,Business and Economics,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,639038.4,4.0,24.0,2.0,,,
Bachelor's degree , International Tourism Management , Jade University of Applied Sciences Wilhelmshaven/Oldenburg/Elsfleth , Wilhelmshaven,Business and Economics,German,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,7.0,42.0,3.5,,,
Bachelor's degree , International Tourism Management , htw saar - University of Applied Sciences , Saarbrücken,Business and Economics,German,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,6.0,36.0,3.0,,,
Bachelor's degree , International Tourism Management (Cruise Business / Innovation) , Bremerhaven University of Applied Sciences , Bremerhaven,Business and Economics,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,8.0,48.0,4.0,,,
Master's degree , International War Studies , University of Potsdam , Potsdam,History,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Internet of Things (IoT) and Smart Systems , Westsächsische Hochschule Zwickau - University of Applied Sciences Zwickau , Zwickau,Computer Science,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Short course and language course , Introduction to Methods of Translation , Internationale Hochschule SDI München/International University SDI München , München,Translation and Interpretation,German,"German: B2, C1, C2",,No application deadline,,,,No,No,No,Yes,No,No,No,Yes,79879.8,,,,,26/07/2024,01/07/2024,
Master's degree , Iranian and Persianate Studies (MA) , University of Göttingen , Göttingen,Other / Non-European Languages and Cultural Studies,German,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Iranian Studies: Iran in Antiquity and Late Antiquity , Freie Universität Berlin , Berlin,Other / Non-European Languages and Cultural Studies,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Bachelor's degree , ISMN International Ship Management – Nautical Sciences , Bremen University of Applied Sciences , Bremen,"Transport Engineering, Nautical Science",English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,8.0,48.0,4.0,,,
Master's degree , IT Engineering (MSc) , Fachhochschule Wedel University of Applied Sciences , Wedel (Holstein),Computer Science,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,286841.1,3.0,18.0,1.5,,,
Master's degree , IT Security (MA) , Universität zu Lübeck , Lübeck,Computer Science,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Short course and language course , IWU: Environmental Engineering – Renewable Energy Sources | International Winter University , University of Kassel , Kassel,Engineering in general,English,"English: B2, C1, C2",,No application deadline,,,,No,No,No,No,No,No,No,Yes,289261.7,,,,,18/01/2024,29/12/2024,
Short course and language course , IWU: German Cultural Studies | International Winter University , University of Kassel , Kassel,Languages and Cultural Studies in general,English,"English: B2, C1, C2",,No application deadline,,,,No,No,No,No,No,No,No,Yes,289261.7,,,,,18/01/2024,29/12/2024,
Preparatory course , Jade Kolleg , Jade University of Applied Sciences Wilhelmshaven/Oldenburg/Elsfleth , Wilhelmshaven,,,,,No application deadline,Bachelor,Engineering,German,No,No,No,No,No,No,No,Yes,,,,,,31/08/2025,18/09/2025,15/08/2024
PhD / Doctorate , Jena School for Microbial Communication (JSMC) , Friedrich Schiller University Jena , Jena,"Mathematics, Natural Sciences in general",English,,Any time,"For detailed information on the application procedure and deadlines, please visit: http://www.jsmc.uni-jena.de.",,,,No,No,No,No,No,No,Yes,No,,,7.0,42.0,3.5,,,
PhD / Doctorate , Jena Schumpeter Center for Research on Socio-Economic Change (JSEC) , Friedrich Schiller University Jena , Jena,"Law, Economics and Social Sciences in general",English,,Any time,"31 March, 30 September",,,,No,No,No,No,No,No,No,Yes,,,6.0,36.0,3.0,,,
Master's degree , Jewish Theology , University of Potsdam , Potsdam,Languages and Cultural Studies in general,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,Yes,No,,,4.0,24.0,2.0,,,
PhD / Doctorate ," Joint Doctor of Philosophy (PhD) in Integrated Management of Water, Soil and Waste ", Technische Universität Dresden , Dresden,"Land Management, Environmental Architecture",English,,Any time,Please see https://flores.unu.edu/en/education/phd-program for current information.,,,,No,No,No,No,No,No,No,Yes,,,7.0,42.0,3.5,,,
Master's degree , Joint European Master's in Interdisciplinary Mathematics , Hamburg University of Technology , Hamburg,"Mathematics, Natural Sciences in general",English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Joint International Master's Programme in Sustainable Development , Leipzig University , Leipzig,"Law, Economics and Social Sciences in general",English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,96824.0,4.0,24.0,2.0,,,
Master's degree , Joint Master in Global Technology and Innovation Management & Entrepreneurship (G-TIME) , Hamburg University of Technology , Hamburg,Business and Economics,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Joint Master's Programme in International Humanitarian Action (NOHA) , Ruhr-Universität Bochum , Bochum,"Law, Economics and Social Sciences in general",English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Joint Master: Transnational German Studies , Johannes Gutenberg University Mainz , Mainz,"German Language and Literature (German, Germanic Languages except English)",German,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
PhD / Doctorate , Joint Research Academy in Biomedical Engineering and Science of Hearing and Sensory Systems , Carl von Ossietzky University of Oldenburg , Oldenburg,"Mathematics, Natural Sciences in general",English,,"Winter semester, Summer semester",Applications are possible at any time. Enrolment will be on 1 April or 1 October each year.,,,,No,No,No,No,No,No,Yes,No,,,6.0,36.0,3.0,,,
PhD / Doctorate , Konstanz Research School Chemical Biology (KoRS-CB) , University of Konstanz , Konstanz,Biology,English,,"Winter semester, Summer semester",No deadline,,,,No,No,No,No,No,No,No,Yes,,,6.0,36.0,3.0,,,
Master's degree , Labour Policies and Globalisation , Hochschule für Wirtschaft und Recht Berlin , Berlin,"Law, Economics and Social Sciences in general",English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,2.0,12.0,1.0,,,
Master's degree , Labour Policies and Globalisation , University of Kassel , Kassel,Social Science,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,2.0,12.0,1.0,,,
Language course , Lake Constance Summer School 2024 , University of Konstanz , Konstanz,German Language Course (including Literature and Culture Studies),German,"German: A1, A2, B1, B2",,No application deadline,,,,No,No,No,No,No,No,Yes,No,70197.4,,,,,23/08/2024,31/07/2024,15/05/2024
Master's degree , Land Management and Geospatial Science , Technical University Munich , München,"Land Management, Environmental Architecture",English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Landscape Ecology (LandEcol) , University of Hohenheim , Stuttgart,"Agriculture, Forestry and Nutritional Sciences in general",English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Landscape Studies and Greenspace Management , Neubrandenburg University of Applied Sciences , Neubrandenburg,Architecture,English,,Summer semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,2.0,12.0,1.0,,,
Master's degree , Language Diversity , University of Greifswald , Greifswald,Languages and Cultural Studies in general,German,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,Yes,No,,,4.0,24.0,2.0,,,
Language course , Language – Science Events – Intercultural Learning , University of Bremen , Bremen,German Language Course (including Literature and Culture Studies),German,"German: A1, A2, B1, B2, C1",,No application deadline,,,,No,No,No,Yes,No,No,No,Yes,87141.6,,,,,23/08/2024,29/07/2024,29/06/2024
Master's degree , Language-Interaction-Culture/ Sprache-Interaktion-Kultur/ Langue-Interaction-Culture , University of Bayreuth , Bayreuth,Languages and Cultural Studies in general,German,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,Yes,No,,,4.0,24.0,2.0,,,
Bachelor's degree , Languages and Business Administration – German Business Communication , Westsächsische Hochschule Zwickau - University of Applied Sciences Zwickau , Zwickau,Languages and Cultural Studies in general,German,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,7.0,42.0,3.5,,,
Master's degree , Languages and Business Administration – German-Chinese , Westsächsische Hochschule Zwickau - University of Applied Sciences Zwickau , Zwickau,Languages and Cultural Studies in general,German,,Winter semester,No application deadline,,,,No,No,No,No,No,No,Yes,No,,,4.0,24.0,2.0,,,
Master's degree , Languages and Cultures of Southeast Asia , Universität Hamburg , Hamburg,Languages and Cultural Studies in general,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Language course , Languages Build Bridges – Summer German Language Programme at Leipzig University , Leipzig University , Leipzig,German Language Course (including Literature and Culture Studies),German,"German: A1, A2, B1, B2, C1",,No application deadline,,,,No,No,No,Yes,No,No,No,Yes,124055.75,,,,,28/06/2024,03/06/2024,06/05/2024
Master's degree , Lasers and Photonics (Master of Science) , Ruhr-Universität Bochum , Bochum,Electrical Engineering,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Law Studies for Foreign Graduates — Master of Laws (LLM) , University of Göttingen , Göttingen,Law,German,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,Yes,No,,,2.0,12.0,1.0,,,
Short course ," Law, Society and Politics in Comparative Perspective ", Freie Universität Berlin , Berlin,"Law, Economics and Social Sciences in general",English,English: B2,,No application deadline,,,,No,No,No,No,No,No,No,Yes,157339.0,,,,,17/08/2024,20/07/2024,22/06/2024
Short course ," Law, Society and Politics in Comparative Perspective ", Freie Universität Berlin , Berlin,Political Science,English,English: B2,,No application deadline,,,,No,No,No,No,No,No,No,Yes,157339.0,,,,,26/01/2024,03/01/2024,22/11/2023
Bachelor's degree , Leisure and Tourism Management (LTM) , Stralsund University of Applied Sciences , Stralsund,Business and Economics,German,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,8.0,48.0,4.0,,,
Preparatory course , Let's Get Started , Deggendorf Institute of Technology , Deggendorf,,,,,No application deadline,Bachelor | Master,Engineering,German,No,No,No,No,No,No,No,Yes,,,,,,15/08/2024,07/03/2024,08/12/2023
Bachelor's degree , Liberal Arts and Sciences (BA/BSc) at University College Freiburg , University of Freiburg , Freiburg im Breisgau,Languages and Cultural Studies in general,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,8.0,48.0,4.0,,,
Master's degree , Life Science (Master of Science) , University of Konstanz , Konstanz,Chemistry,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Life Science Informatics (b-it) , University of Bonn , Bonn,Biology,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Linguistic Data Science (MA) , Ruhr-Universität Bochum , Bochum,General and Comparative Literature and Linguistics,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,Yes,No,,,4.0,24.0,2.0,,,
Master's degree , Linguistics (MA) , University of Göttingen , Göttingen,Languages and Cultural Studies in general,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Linguistics: Empirical and Theoretical Foundations , University of Potsdam , Potsdam,General and Comparative Literature and Linguistics,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Short course and language course , Literature and Media Translation , Johannes Gutenberg University Mainz , Germersheim,Translation and Interpretation,German,"German: B2, C1, C2",,No application deadline,,,,No,No,No,No,No,No,No,Yes,24206.0,,,,,26/07/2024,22/07/2024,
Master's degree , Logistics and Supply Chain Management (LSCM) , Technical University of Applied Sciences Wildau , Wildau,Engineering in general,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Logistics Management (MBA) , Dresden International University , Dresden,Business and Economics,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,665665.0,3.0,18.0,1.5,,,
Short course , Lower Saxony International Summer Academy (LISA) , Hannover Medical School , Hannover,Biology,English,English: B2,,No application deadline,,,,No,No,No,No,No,No,No,Yes,36309.0,,,,,30/04/2024,30/04/2024,30/04/2024
Master's degree , Luxury Management (MSc) , Hochschule Fresenius - University of Applied Sciences , Köln,Business and Economics,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,639038.4,4.0,24.0,2.0,,,
Master's degree , M.I.N.C. – Master of International Nature Conservation (MSc) , University of Göttingen , Göttingen,Biology,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , MA 3D Animation for Film & Games , ifs Internationale Filmschule Köln , Köln,Design,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,181545.0,4.0,24.0,2.0,,,
Master's degree ," MA African Studies: Critical Perspectives on Society, Politics and Culture ", University of Bayreuth , Bayreuth,Other / Non-European Languages and Cultural Studies,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , MA Animation and Game Direction , Darmstadt University of Applied Sciences , Dieburg,Design,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,3.0,18.0,1.5,,,
Master's degree , MA Border Studies , Saarland University , Saarbrücken,Languages and Cultural Studies in general,German,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , MA Business Management , University of Applied Management Studies , Mannheim,Business and Economics,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,501064.2,3.0,18.0,1.5,,,
Master's degree ," MA Culture – Language – Media (Kultur – Sprache – Medien, KSM) ", Europa-Universität Flensburg , Flensburg,Languages and Cultural Studies in general,German,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , MA Design & Innovation Management , FOM University of Applied Sciences , Essen,Design,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , MA Development Economics and International Studies (DEIS) , FAU Erlangen-Nürnberg , Erlangen,"Law, Economics and Social Sciences in general",English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , MA Digital Narratives , ifs Internationale Filmschule Köln , Köln,"Art, Art Theory in general",English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,453862.5,4.0,24.0,2.0,,,
Master's degree , MA Double Degree Philosophy , University of Bamberg , Bamberg,Philosophy,German,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , MA East European Studies (Munich/Regensburg) , Ludwig-Maximilians-Universität München , München,History,German,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , MA English Studies , FAU Erlangen-Nürnberg , Erlangen,"English Studies, American Studies",English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , MA German as a Second and Foreign Language / Master of Arts Deutsch als Zweit- und Fremdsprache , Trier University , Trier,"German Language and Literature (German, Germanic Languages except English)",German,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , MA in European Studies/ LLM in European Legal Studies , Universität Hamburg , Hamburg,Law,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,1028755.0,2.0,12.0,1.0,,,
Master's degree , MA in Philosophy of Science , Leibniz Universität Hannover , Hannover,Philosophy,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , MA Interior Architecture / Interior Design , Berlin International University of Applied Sciences , Berlin,Design,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , MA Interior Design , Berlin International University of Applied Sciences , Berlin,Design,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , MA International Management & Information Systems (IMIS) , South Westphalia University of Applied Sciences , Soest,Business and Economics,English,,Summer semester,No application deadline,,,,No,No,No,No,No,No,Yes,No,,,3.0,18.0,1.5,,,
Master's degree , MA International Management & Information Systems – Online (IMIS Online) , South Westphalia University of Applied Sciences , Soest,Business and Economics,English,,Winter semester,No application deadline,,,,No,No,No,No,Yes,No,No,No,,266266.0,4.0,24.0,2.0,,,
Master's degree , MA International Management Studies – BWL , Europa-Universität Flensburg , Flensburg,Business and Economics,German,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , MA International Relations: Global Politics and Social Theory , University of Bremen , Bremen,Political Science,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , MA International Sport Development and Politics , German Sport University Cologne , Köln,Sport,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , MA International Tourism Development , Deggendorf Institute of Technology , Pfarrkirchen,Business and Economics,English,,Summer semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,3.0,18.0,1.5,,,
Master's degree ," MA Linguistics – Language, Communication and Cognition ", University of Freiburg , Freiburg im Breisgau,General and Comparative Literature and Linguistics,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree ," MA Linguistics – Language, Communication and Cognition / MA Linguistik – Sprache, Kommunikation und Kognition ", University of Freiburg , Freiburg im Breisgau,General and Comparative Literature and Linguistics,German,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , MA Managing Global Dynamics , Technical University of Applied Sciences Würzburg-Schweinfurt (THWS) , Würzburg,Business and Economics,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,3.0,18.0,1.5,,,
Master's degree , MA North American Studies , Philipps-Universität Marburg , Marburg,"English Studies, American Studies",English,,Winter semester,No application deadline,,,,No,No,No,No,No,Yes,No,No,,,4.0,24.0,2.0,,,
Master's degree , MA North American Studies: Culture and Literature , FAU Erlangen-Nürnberg , Erlangen,"English Studies, American Studies",English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree ," MA Programme German-French Business, Labour and Social Law ", Heinrich Heine University Düsseldorf , Düsseldorf,Law,German,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree ," MA Psychology Focusing on Organisation – Transformation Processes in Work, Society and Environment ", International Psychoanalytic University Berlin , Berlin,Psychology,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,786695.0,4.0,24.0,2.0,,,
Master's degree , MA Research on Learning and Instruction , University of Augsburg , Augsburg,Education,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , MA Serial Storytelling , ifs Internationale Filmschule Köln , Köln,"Performing Arts, Film and Television, Drama",English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,453862.5,4.0,24.0,2.0,,,
Master's degree , MA Social Work as a Human Rights Profession (MA-SWHR) , Alice Salomon University of Applied Sciences Berlin , Berlin,Social Services,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,Yes,No,,319519.2,4.0,24.0,2.0,,,
Master's degree , MA Strategic and International Management , Deggendorf Institute of Technology , Deggendorf,Business and Economics,German,,Summer semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,3.0,18.0,1.5,,,
Master's degree , Machine Learning (MSc) , University of Tübingen , Tübingen,Computer Science,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
PhD / Doctorate ," Mainz Research School of Translational Biomedicine (TransMed), International PhD Programme in Life Sciences ", Johannes Gutenberg University Mainz , Mainz,Medicine in general,English,,Any time,"For PhD and MD/PhD in Translational Biomedicine, see:
http://www.unimedizin-mainz.de/transmed/phd-mdphd-in-translatio…",,,,No,No,No,No,No,No,No,Yes,,,6.0,36.0,3.0,,,
Master's degree , Management & Data Science (MSc) , Leuphana University Lüneburg , Lüneburg,Computer Science,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Management & Entrepreneurship (MSc) , Leuphana University Lüneburg , Lüneburg,Business and Economics,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Management & Sustainable Accounting and Finance (MSc) , Leuphana University Lüneburg , Lüneburg,Business and Economics,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Management and Computer Science , Westsächsische Hochschule Zwickau - University of Applied Sciences Zwickau , Zwickau,Business and Economics,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,Yes,No,,,4.0,24.0,2.0,,,
Master's degree , Management and Engineering in Computer-Aided Mechanical Engineering (MME-CAME) , RWTH Aachen University , Aachen,Mechanical Engineering / Process Engineering,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,726180.0,4.0,24.0,2.0,,,
Master's degree , Management and Engineering in Production Systems (MME-PS) , RWTH Aachen University , Aachen,Mechanical Engineering / Process Engineering,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,726180.0,4.0,24.0,2.0,,,
Master's degree , Management and Technology of Water and Waste Water , University of Duisburg-Essen , Duisburg,Engineering in general,German,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,Yes,No,,,4.0,24.0,2.0,,,
Master's degree , Management in Non-Profit Organisations , Osnabrück University of Applied Sciences , Osnabrück,"Law, Economics and Social Sciences in general",English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Master's degree , Management International , Julius-Maximilians-Universität Würzburg , Würzburg,Business and Economics,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,4.0,24.0,2.0,,,
Bachelor's degree , Management International (German-French Programme (BA and MA)) , Hochschule für Wirtschaft und Recht Berlin , Berlin,Business and Economics,German,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,9.0,54.0,4.5,,,
